-7.86517665,4.36501941,3.83654727 3.00281494,-0.99183207,-8.62615978
5.96762579,3.47213579,-6.52502001 -2.12449442,-7.88152998,2.42638946
2.62944979,-1.05023495,-8.23453916 -7.1561875,4.43941283,3.64605856
-7.98516041,2.15942845,-2.18970966 3.53498149,-6.10182082,6.14283248
2.41546026,-7.93693933,-1.92677011 -6.57002975,3.50103474,5.6828243
-8.26935506,2.79640899,-0.63838408 3.65617942,-7.44928426,3.82662558
-7.27485959,3.5826106,2.92698499 2.74390795,-8.15789063,-0.05144723
-16.32651822,-4.73077013,1.45312647 1.36462322,-9.34598955,-16.39807578
2.63398548,-1.24757564,-8.170382 -7.13580283,4.71652088,3.61472503
2.46505123,-8.03888233,-1.99106579 -6.65958845,3.5515555,5.79503782
-11.67156761,3.96337352,0.52765085 4.29232769,-11.6768195,2.04171428
-16.04323308,3.74436492,3.93306569 2.73819515,-0.50258944,-15.97181844
-7.70557779,3.64142089,3.15765976 2.97469676,-8.26773701,-0.20842324
0.27557527,3.15148043,-8.25665681 2.38550827,-7.90425117,3.60408388
-16.38500474,1.42187627,-8.48240597 1.43606705,-16.38121535,-3.81966945
4.05676675,3.64337884,-7.4593295 -0.79420654,-8.23904312,2.79967338
-8.26279592,-1.64913789,2.42852419 3.66660118,5.32602607,-6.71826625
-1.11944822,-16.31290384,1.2045263 -13.42218106,1.34973593,-15.9612342
-7.31881613,3.54832138,3.43938185 2.74177882,-8.06552235,-0.38740224
1.42636942,-8.28917543,-16.39493185 -16.38312311,-5.87274732,1.44250804
1.14014264,-16.33292439,-0.53120207 -15.86531229,1.37192565,-13.80520962
-8.15954539,2.91892332,-0.39979965 3.59405985,-7.63256312,3.45348729
-16.34538703,0.99812648,-0.47200023 1.38586037,-15.71315396,-13.96949561
2.52249321,-1.7505295,-8.25097784 -6.85212905,5.4615633,3.6582302
-7.12142151,3.67429345,4.6762562 2.61689142,-8.28796659,-1.21226349
-6.45275538,5.28678296,3.62177979 2.26052445,-1.60243465,-8.16530513
1.44836368,-5.45324067,-16.3898204 -16.39509867,-9.17868272,1.43368905
-6.85601631,5.24038845,3.58155468 2.51802073,-1.61227862,-8.09945263
-12.48539154,-0.62553633,3.35857541 4.37408014,3.86927507,-12.44756436
2.57785806,-8.25605316,-1.43861784 -7.01600218,3.65963665,5.00244529
-15.92050122,-13.6124845,1.39466363 1.17934036,-0.8184551,-16.35347194
-15.35719819,2.91193167,-0.7212028 4.19214353,-15.3345996,4.08897704
3.63667736,4.51352013,-7.27148803 -8.21717567,-1.10641287,2.70028248
1.4025171,-9.22791116,-16.37550473 -16.36262361,-3.46051654,1.43234403
-4.97886835,1.46252177,-16.34372693 -9.45984788,-16.40604629,1.38400846
9.09727006,2.10828396,1.29856273 -4.16013085,4.03731133,-6.21038189
-8.24883274,2.62594643,-1.39667049 3.65503766,-7.10581496,4.93728488
-1.4797604,-8.13948783,2.36086761 5.08250784,3.60545575,-6.63468919
-1.16787255,-14.20758792,2.8695558 4.7823335,4.3102624,-14.20141583
-7.3049304,3.64622727,3.74358915 2.71467052,-8.24973006,-0.57937064
-7.67139514,3.21617737,3.53010977 2.95808961,-0.25138018,-8.04341273
-8.21547774,-0.09642029,2.94037309 3.61068043,2.98013634,-7.62026114
1.24836395,-16.38167386,-1.02032191 -16.00393013,1.42487278,-13.40828044
1.4156395,-10.42325302,-16.40064564 -16.37312373,-3.94728479,1.47429335
2.28555083,-1.50985172,-8.25743085 -6.52608578,5.15959146,3.66753121
-8.24604306,3.70474896,2.44781652 3.32820004,-8.45607062,0.23830086
-7.50170349,3.32758915,3.61849325 2.8490885,-0.31489286,-8.21156433
-14.90421149,4.23426111,3.63862177 3.20046737,-14.88179982,-0.46436264
-0.94864654,2.7241795,-8.23586002 4.28596457,-7.32547735,3.64449351
3.53256632,3.64190692,-7.63639112 -0.44850133,-8.25183472,2.91460647
-6.95668948,5.03918742,3.65334546 2.54729487,-1.46333002,-8.24238343
1.40518058,-6.73684864,-16.39368524 -16.36593397,-3.54894667,1.44222697
3.57570036,4.79941507,-6.72441673 -8.08429856,-1.29005701,2.39719859
-1.50758995,-8.08700365,2.39073809 5.10805584,3.57805209,-6.66781064
3.61680176,4.85463599,-7.15067697 -8.17432867,-1.34456947,2.65077087
